iter	Passed	Remaining
0	0	90
1	1	81
2	2	77
3	2	70
4	3	70
5	4	68
6	5	67
7	5	66
8	6	65
9	7	64
10	7	64
11	8	64
12	9	63
13	10	62
14	10	61
15	11	60
16	12	59
17	12	58
18	13	57
19	14	57
20	15	56
21	15	55
22	16	55
23	17	54
24	17	53
25	18	52
26	19	52
27	19	51
28	20	50
29	21	49
30	22	49
31	22	48
32	23	47
33	24	46
34	24	46
35	25	45
36	26	44
37	26	43
38	27	43
39	28	42
40	28	41
41	29	40
42	29	39
43	30	38
44	31	38
45	32	37
46	32	36
47	33	36
48	34	35
49	34	34
50	35	34
51	36	33
52	36	32
53	37	31
54	37	30
55	38	30
56	39	29
57	40	29
58	40	28
59	41	27
60	42	27
61	43	26
62	44	25
63	44	25
64	45	24
65	46	23
66	46	23
67	47	22
68	48	21
69	48	20
70	49	20
71	50	19
72	51	18
73	51	18
74	52	17
75	53	16
76	53	16
77	54	15
78	55	14
79	56	14
80	56	13
81	57	12
82	58	11
83	58	11
84	59	10
85	60	9
86	60	9
87	61	8
88	62	7
89	63	7
90	63	6
91	64	5
92	65	4
93	65	4
94	66	3
95	67	2
96	67	2
97	68	1
98	69	0
99	70	0
